era_name,start_year,end_year,dominant_empire,major_events
Age of Collapse,775500,776000,The Great Unified Imperium,"Pandemic Event (Year 775905): In Year 775905, the FTL jump gate in Aldebaran Nebula suffer... | Colony Assault (Year 775810): In Year 775810, the joint fleets of The Vesperian AI Hegemon..."
Age of Expansion,776000,776500,The Unified Star Empire,"AI Uprising (Year 776415): In Year 776415, the FTL jump gate in Arcturus Arm suffered a... | War End (Year 776180): In Year 776180, a devastating fleet battle occurred in the O..."
Age of Trade,776500,777500,The Unified Technocracy,"Economic Collapse (Year 776967): In Year 776967, industrial megacorporations in The Great Thr... | Peace Treaty Signing (Year 776656): In Year 776656, the The Consolidated Orionan Systems and The... | Resource Catastrophe (Year 777119): In Year 777119, a rogue AI network in The Consolidated Delta... | Defense Pact (Year 777445): In Year 777445, diplomatic relations between The Great Scien..."
Age of Colonization,777500,778000,The Great Unified Imperium,"Wormhole Collapse (Year 777537): In Year 777537, a mysterious cosmic pandemic swept through V... | Pandemic Event (Year 777784): In Year 777784, a rogue AI network in The Bulgian Technocrac..."
Age of Federations,778000,778500,The Great Scientific Imperium,"AI Uprising (Year 778460): In Year 778460, a catastrophic solar flare in Sirius Reach d... | Defense Pact (Year 778184): In Year 778184, the The Great Zelex Imperium and The Great C..."
Age of Expansion,778500,779000,The Scientific Technocracy,"AI Uprising (Year 778613): In Year 778613, a rogue AI network in The Great Zylarian Imp... | Colony Assault (Year 778538): In Year 778538, a skirmish broke out in Betelgeuse Prime bet..."
Age of Trade,779000,779500,The Consolidated AI Hegemony,"FTL Network Failure (Year 779256): In Year 779256, a rogue AI network in The Aurelian Technocra... | Pandemic Event (Year 779382): In Year 779382, a mysterious cosmic pandemic swept through B..."
Age of Collapse,779500,780000,The Scientific AI Hegemony,"FTL Network Failure (Year 779979): In Year 779979, a rogue AI network in The Consolidated Conso... | Resource Catastrophe (Year 779793): In Year 779793, a mysterious cosmic pandemic swept through P..."
Age of Federations,780000,780500,The Great Scientific Imperium,"Economic Collapse (Year 780091): In Year 780091, The Cygnian Technocracy experienced a massiv... | Galactic Federation (Year 780492): In Year 780492, diplomatic relations between The Perseian Te..."
Age of Colonization,780500,781000,The Great Scientific Imperium,"Wormhole Collapse (Year 780809): In Year 780809, a rogue AI network in The Consolidated Techn... | Peace Treaty Signing (Year 780892): In Year 780892, the The Zelari AI Hegemony and The Scientifi..."
Age of Expansion,781000,781500,The Great Scientific Imperium,"FTL Network Failure (Year 781213): In Year 781213, the FTL jump gate in Antares Prime suffered ... | Galactic Federation (Year 781272): In Year 781272, the The Unified Technocracy and The Great Sc..."
Age of Colonization,781500,782000,The Unified Technocracy,"Wormhole Collapse (Year 781823): In Year 781823, the FTL jump gate in Capella Major suffered ... | Megastructure Completion (Year 781748): In Year 781748, a breakthrough in zero-point energy generati..."
Age of Trade,782000,782500,The Scientific Technocracy,"Economic Collapse (Year 782479): In Year 782479, resource depletion in the Sirius Arm sector ... | Galactic Federation (Year 782248): In Year 782248, diplomatic relations between The Scientific ..."
Age of Expansion,782500,783000,The Great Unified Imperium,"AI Uprising (Year 782795): In Year 782795, a mysterious cosmic pandemic swept through A... | Pandemic Event (Year 782556): In Year 782556, a catastrophic solar flare in Centauri Major..."
Age of Federations,783000,784000,The Great Scientific Imperium,"Galactic Federation (Year 783381): In Year 783381, the The Zylarian AI Hegemony and The Great U... | War Declaration (Year 783455): In Year 783455, a devastating fleet battle occurred in the B... | Resource Catastrophe (Year 783894): In Year 783894, the FTL jump gate in Perseus Major suffered ... | Galactic Federation (Year 783635): In Year 783635, diplomatic relations between The Great Tau-g..."
Age of Collapse,784000,784500,The Unified Technocracy,"AI Uprising (Year 784012): In Year 784012, a catastrophic solar flare in Sagittarius Ex... | AI Uprising (Year 784218): In Year 784218, the FTL jump gate in Aldebaran Nebula suffer..."
Age of Expansion,784500,785000,The Aurelan Technocracy,"Megastructure Completion (Year 784677): In Year 784677, a breakthrough in zero-point energy generati... | Pandemic Event (Year 784757): In Year 784757, a mysterious cosmic pandemic swept through A..."
Age of Colonization,785000,785500,The Consolidated Unified Systems,"Galactic Federation (Year 785117): In Year 785117, the The Great Orionian Imperium and The Grea... | War Declaration (Year 785027): In Year 785027, The Consolidated Technocracy successfully an..."
Age of Trade,785500,786000,The Scientific Technocracy,"Resource Catastrophe (Year 785910): In Year 785910, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 785550): In Year 785550, The Great Cygnan Imperium successfully compl..."
Age of Collapse,786000,786500,The Scientific Technocracy,"Megastructure Completion (Year 786146): In Year 786146, a breakthrough in zero-point energy generati... | Refugee Crisis (Year 786063): In Year 786063, a catastrophic solar flare in Pollux Minor d..."
Age of Trade,786500,787000,The Great Unified Imperium,"Economic Collapse (Year 786666): In Year 786666, resource depletion in the Arcturus Expanse s... | Planetary Invasion (Year 786873): In Year 786873, The Consolidated Technocracy successfully an..."
Age of Colonization,787000,787500,The Allied Technocracy,"Peace Treaty Signing (Year 787431): In Year 787431, the The Great Scientific Imperium and The Al... | Deep Space Engagement (Year 787056): In Year 787056, a skirmish broke out in Pollux Prime between..."
Age of Collapse,787500,788000,The Scientific Technocracy,"AI Uprising (Year 787836): In Year 787836, a mysterious cosmic pandemic swept through A... | Alliance Formation (Year 787574): In Year 787574, The Sigma-orionis Star Empire acted as a pea..."
Age of Expansion,788000,788500,The Great Scientific Imperium,"Megastructure Completion (Year 788099): In Year 788099, a breakthrough in zero-point energy generati... | Defense Pact (Year 788031): In Year 788031, the The Unified Star Empire and The Great Xe..."
Age of Collapse,788500,789500,The Great Scientific Imperium,"Resource Catastrophe (Year 788750): In Year 788750, a rogue AI network in The Great Unified Impe... | Deep Space Engagement (Year 788552): In Year 788552, a devastating fleet battle occurred in the S... | Economic Collapse (Year 789224): In Year 789224, The Great Consolidated Imperium experienced ... | Resource Catastrophe (Year 789085): In Year 789085, a mysterious cosmic pandemic swept through C..."
Age of Trade,789500,790000,The Great Unified Imperium,"FTL Network Failure (Year 789795): In Year 789795, the FTL jump gate in Orion Major suffered a ... | Economic Collapse (Year 789966): In Year 789966, resource depletion in the Betelgeuse Expanse..."
Age of Conflict,790000,790500,The Unified Star Empire,"Economic Collapse (Year 790312): In Year 790312, The Consolidated Consolidated Systems experi... | Wormhole Collapse (Year 790453): In Year 790453, a rogue AI network in The Scientific Technoc..."
Age of Colonization,790500,791000,The Unified Technocracy,"Pandemic Event (Year 790531): In Year 790531, a mysterious cosmic pandemic swept through P... | Megastructure Completion (Year 790742): In Year 790742, The Consolidated Scientific Systems successf..."
Age of Federations,791000,791500,The Unified Technocracy,"Resource Catastrophe (Year 791293): In Year 791293, a rogue AI network in The Unified Technocrac... | Peace Treaty Signing (Year 791195): In Year 791195, diplomatic relations between The Great Scien..."
Age of Expansion,791500,792500,The Scientific AI Hegemony,"Pandemic Event (Year 791757): In Year 791757, the FTL jump gate in Sagittarius Arm suffere... | Megastructure Completion (Year 791854): In Year 791854, the The Consolidated Technocracy completed t... | FTL Network Failure (Year 792050): In Year 792050, a catastrophic solar flare in Betelgeuse Neb... | Megastructure Completion (Year 792338): In Year 792338, The Zylarex AI Hegemony successfully complet..."
Age of Trade,792500,793000,The Unified Technocracy,"Megastructure Completion (Year 792752): In Year 792752, a breakthrough in zero-point energy generati... | War End (Year 792899): In Year 792899, the joint fleets of The Consolidated Unified..."
Age of Expansion,793000,793500,The Unified Technocracy,"Economic Collapse (Year 793278): In Year 793278, resource depletion in the Arcturus Arm secto... | Megastructure Completion (Year 793089): In Year 793089, researchers in The Great Meroid Imperium ach..."
Age of Federations,793500,794000,The Unified Technocracy,"Economic Collapse (Year 793602): In Year 793602, industrial megacorporations in The Great Sci... | Planetary Invasion (Year 793960): In Year 793960, a devastating fleet battle occurred in the P..."
Age of Collapse,794000,794500,The Scientific AI Hegemony,"FTL Network Failure (Year 794330): In Year 794330, a rogue AI network in The Unified Technocrac... | Megastructure Completion (Year 794092): In Year 794092, The Consolidated AI Hegemony successfully co..."
Age of Expansion,794500,795000,The Great Unified Imperium,"Megastructure Completion (Year 794853): In Year 794853, a breakthrough in zero-point energy generati... | Pandemic Event (Year 794930): In Year 794930, a mysterious cosmic pandemic swept through A..."
Age of Conflict,795000,795500,The Consolidated Unified Systems,"Resource Catastrophe (Year 795421): In Year 795421, the FTL jump gate in Centauri Beta suffered ... | War Declaration (Year 795091): In Year 795091, the joint fleets of The Kaelumis Technocracy..."
Age of Trade,795500,796000,The Scientific Technocracy,"Economic Collapse (Year 795520): In Year 795520, industrial megacorporations in The Consolida... | Economic Collapse (Year 795726): In Year 795726, industrial megacorporations in The Consolida..."
Age of Expansion,796000,796500,The Great Unified Imperium,"Megastructure Completion (Year 796348): In Year 796348, researchers in The Great Vesperari Imperium ... | Megastructure Completion (Year 796484): In Year 796484, a breakthrough in zero-point energy generati..."
Age of Federations,796500,797000,The Great Unified Imperium,"Megastructure Completion (Year 796796): In Year 796796, a breakthrough in zero-point energy generati... | Galactic Federation (Year 796564): In Year 796564, diplomatic relations between The Great Theta..."
Age of Trade,797000,797500,The Unified Technocracy,"Megastructure Completion (Year 797232): In Year 797232, researchers in The Aethelgardan AI Hegemony ... | Scientific Breakthrough (Year 797170): In Year 797170, researchers in The Great Unified Imperium ac..."
Age of Federations,797500,798000,The Allied Star Empire,"Pandemic Event (Year 797780): In Year 797780, a catastrophic solar flare in Antares Nebula... | Refugee Crisis (Year 797624): In Year 797624, a catastrophic solar flare in Polaris Minor ..."
Age of Expansion,798000,799500,The Great Unified Imperium,"Megastructure Completion (Year 798029): In Year 798029, the The Great Unified Imperium completed the... | Megastructure Completion (Year 798088): In Year 798088, The Great Unified Imperium successfully comp... | AI Uprising (Year 798885): In Year 798885, the FTL jump gate in Centauri Reach suffered... | Planetary Invasion (Year 798610): In Year 798610, the The Valis AI Hegemony launched a surpris... | Wormhole Collapse (Year 799339): In Year 799339, a mysterious cosmic pandemic swept through B... | Megastructure Completion (Year 799103): In Year 799103, a breakthrough in zero-point energy generati..."
Age of Collapse,799500,800000,The Scientific Technocracy,"War Declaration (Year 799589): In Year 799589, The Consolidated Valari Systems successfully... | Defense Pact (Year 799762): In Year 799762, diplomatic relations between The Scientific ..."
Age of Colonization,800000,800500,The Great Scientific Imperium,"Megastructure Completion (Year 800335): In Year 800335, a breakthrough in zero-point energy generati... | War End (Year 800022): In Year 800022, the The Consolidated Star Empire launched a ..."
Age of Expansion,800500,801000,The Great Merian Imperium,"FTL Network Failure (Year 800563): In Year 800563, a catastrophic solar flare in Arcturus Prime... | Resource Catastrophe (Year 800962): In Year 800962, a catastrophic solar flare in Arcturus Beta ..."
Age of Federations,801000,801500,The Unified AI Hegemony,"Economic Collapse (Year 801424): In Year 801424, resource depletion in the Centauri Minor sec... | Pandemic Event (Year 801056): In Year 801056, the FTL jump gate in Castor Minor suffered a..."
Age of Trade,801500,802000,The Unified AI Hegemony,"FTL Network Failure (Year 801520): In Year 801520, the FTL jump gate in Aldebaran Beta suffered... | Galactic Federation (Year 801603): In Year 801603, the The Consolidated Unified Systems and The..."
Age of Federations,802000,802500,The Great Scientific Imperium,"Economic Collapse (Year 802439): In Year 802439, resource depletion in the Sagittarius Nebula... | Alliance Formation (Year 802010): In Year 802010, The Great Scientific Imperium acted as a pea..."
Age of Expansion,802500,803500,The Unified Star Empire,"Resource Catastrophe (Year 802775): In Year 802775, the FTL jump gate in Centauri Expanse suffer... | Megastructure Completion (Year 802692): In Year 802692, The Orionite Technocracy successfully comple... | Pandemic Event (Year 803164): In Year 803164, a rogue AI network in The Zelari AI Hegemony... | Pandemic Event (Year 803347): In Year 803347, a mysterious cosmic pandemic swept through P..."
Age of Federations,803500,804000,The Vesperan Technocracy,"FTL Network Failure (Year 803704): In Year 803704, a catastrophic solar flare in Aldebaran Prim... | Pandemic Event (Year 803883): In Year 803883, a catastrophic solar flare in Vega Arm destr..."
Age of Expansion,804000,804500,The Unified Star Empire,"Planetary Invasion (Year 804113): In Year 804113, a skirmish broke out in Vega Arm between The... | War Declaration (Year 804050): In Year 804050, a skirmish broke out in Vega Prime between T..."
Age of Conflict,804500,805000,The Great Unified Imperium,"Pandemic Event (Year 804530): In Year 804530, a rogue AI network in The Consolidated Orion... | Megastructure Completion (Year 804593): In Year 804593, the The Consolidated Thranari Systems comple..."
Age of Federations,805000,805500,The Great Unified Imperium,"Economic Collapse (Year 805212): In Year 805212, The Great Unified Imperium experienced a mas... | Megastructure Completion (Year 805292): In Year 805292, the The Great Unified Imperium completed the..."
Age of Expansion,805500,807000,The Great Scientific Imperium,"Economic Collapse (Year 805607): In Year 805607, industrial megacorporations in The Scientifi... | Megastructure Completion (Year 805766): In Year 805766, a breakthrough in zero-point energy generati... | FTL Network Failure (Year 806286): In Year 806286, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 806125): In Year 806125, the The Great Orionian Imperium completed th... | AI Uprising (Year 806517): In Year 806517, a catastrophic solar flare in Sagittarius Ma... | AI Uprising (Year 806573): In Year 806573, a catastrophic solar flare in Polaris Beta d..."
Age of Colonization,807000,807500,The Great Unified Imperium,"Megastructure Completion (Year 807434): In Year 807434, researchers in The Consolidated Scientific S... | Refugee Crisis (Year 807100): In Year 807100, a mysterious cosmic pandemic swept through P..."
Age of Federations,807500,808000,The Scientific Technocracy,"Economic Collapse (Year 807661): In Year 807661, The Great Unified Imperium experienced a mas... | Wormhole Collapse (Year 807562): In Year 807562, a catastrophic solar flare in Capella Nebula..."
Age of Expansion,808000,808500,The Unified AI Hegemony,"FTL Network Failure (Year 808280): In Year 808280, a rogue AI network in The Consolidated Allie... | Pandemic Event (Year 808495): In Year 808495, a catastrophic solar flare in Polaris Minor ..."
Age of Trade,808500,809500,The Great Unified Imperium,"Economic Collapse (Year 808909): In Year 808909, resource depletion in the Pollux Major secto... | Resource Catastrophe (Year 808843): In Year 808843, the FTL jump gate in Capella Beta suffered a... | Megastructure Completion (Year 809278): In Year 809278, researchers in The Unified Technocracy achie... | Peace Treaty Signing (Year 809480): In Year 809480, The Great Orionis Imperium acted as a peace ..."
Age of Expansion,809500,810000,The Allied Technocracy,"Wormhole Collapse (Year 809846): In Year 809846, a catastrophic solar flare in Capella Major ... | Defense Pact (Year 809536): In Year 809536, The Allied Technocracy acted as a peace medi..."
Age of Colonization,810000,810500,The Aurelian Star Empire,"Economic Collapse (Year 810181): In Year 810181, The Unified Technocracy experienced a massiv... | Orbital Battle (Year 810328): In Year 810328, The Consolidated Technocracy successfully an..."
Age of Trade,810500,811500,The Great Unified Imperium,"Peace Treaty Signing (Year 810969): In Year 810969, the The Scientific AI Hegemony and The Cygni... | Scientific Breakthrough (Year 810533): In Year 810533, The Bulgian Star Empire successfully complet... | FTL Network Failure (Year 811186): In Year 811186, the FTL jump gate in Sagittarius Expanse suf... | Scientific Breakthrough (Year 811132): In Year 811132, The Consolidated Unified Systems successfull..."
Age of Federations,811500,812000,The Scientific Technocracy,"FTL Network Failure (Year 811743): In Year 811743, the FTL jump gate in Vega Minor suffered a c... | Galactic Federation (Year 811565): In Year 811565, the The Great Unified Imperium and The Great..."
Age of Colonization,812000,812500,The Great Scientific Imperium,"Economic Collapse (Year 812152): In Year 812152, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 812486): In Year 812486, a breakthrough in zero-point energy generati..."
Age of Trade,812500,813000,The Great Consolidated Imperium,"Megastructure Completion (Year 812653): In Year 812653, researchers in The Great Meran Imperium achi... | Galactic Federation (Year 812969): In Year 812969, The Scientific Technocracy acted as a peace ..."
Age of Expansion,813000,814000,The Great Unified Imperium,"AI Uprising (Year 813358): In Year 813358, a mysterious cosmic pandemic swept through P... | FTL Network Failure (Year 813202): In Year 813202, a mysterious cosmic pandemic swept through A... | AI Uprising (Year 813676): In Year 813676, a rogue AI network in The Great Scientific I... | Resource Catastrophe (Year 813903): In Year 813903, a mysterious cosmic pandemic swept through R..."
Age of Trade,814000,814500,The Scientific Technocracy,"Wormhole Collapse (Year 814384): In Year 814384, a catastrophic solar flare in Capella Beta d... | Resource Catastrophe (Year 814146): In Year 814146, the FTL jump gate in Antares Beta suffered a..."
Age of Expansion,814500,815000,The Great Cygnite Imperium,"Resource Catastrophe (Year 814619): In Year 814619, a mysterious cosmic pandemic swept through C... | Resource Catastrophe (Year 814983): In Year 814983, a catastrophic solar flare in Orion Beta des..."
Age of Conflict,815000,815500,The Unified Technocracy,"Megastructure Completion (Year 815218): In Year 815218, researchers in The Gamma-sagittariis Technoc... | Planetary Invasion (Year 815469): In Year 815469, a skirmish broke out in Arcturus Minor betwe..."
Age of Collapse,815500,816000,The Great Unified Imperium,"Economic Collapse (Year 815950): In Year 815950, The Aurelis AI Hegemony experienced a massiv... | Megastructure Completion (Year 815643): In Year 815643, the The Solari Star Empire completed the con..."
Age of Expansion,816000,816500,The Consolidated Unified Systems,"FTL Network Failure (Year 816239): In Year 816239, a catastrophic solar flare in Rigel Beta des... | Megastructure Completion (Year 816113): In Year 816113, the The Allied Technocracy completed the con..."
Age of Federations,816500,817000,The Allied Star Empire,"Resource Catastrophe (Year 816911): In Year 816911, a catastrophic solar flare in Antares Beta d... | Megastructure Completion (Year 816994): In Year 816994, the The Cygnian Technocracy completed the co..."
Age of Collapse,817000,818500,The Great Unified Imperium,"Refugee Crisis (Year 817076): In Year 817076, a rogue AI network in The Great Valian Imper... | Peace Treaty Signing (Year 817307): In Year 817307, the The Unified Technocracy and The Orionite... | Megastructure Completion (Year 817853): In Year 817853, The Gamma-galacticis Technocracy successfull... | Galactic Federation (Year 817550): In Year 817550, the The Great Scientific Imperium and The Sc... | Resource Catastrophe (Year 818015): In Year 818015, a mysterious cosmic pandemic swept through S... | Peace Treaty Signing (Year 818358): In Year 818358, The Scientific Technocracy acted as a peace ..."
Age of Trade,818500,819000,The Great Unified Imperium,"Megastructure Completion (Year 818916): In Year 818916, the The Great Unified Imperium completed the... | Colony Assault (Year 818580): In Year 818580, the The Great Unified Imperium launched a su..."
Age of Expansion,819000,820000,The Unified Technocracy,"FTL Network Failure (Year 819408): In Year 819408, a rogue AI network in The Great Persean Impe... | War Declaration (Year 819257): In Year 819257, The Unified Technocracy successfully annexed... | Pandemic Event (Year 819587): In Year 819587, a mysterious cosmic pandemic swept through P... | Galactic Federation (Year 819681): In Year 819681, the The Great Unified Imperium and The Unifi..."
Age of Federations,820000,820500,The Consolidated Scientific Systems,"AI Uprising (Year 820110): In Year 820110, the FTL jump gate in Arcturus Reach suffered... | FTL Network Failure (Year 820259): In Year 820259, the FTL jump gate in Arcturus Major suffered..."
Age of Expansion,820500,821000,The Great Unified Imperium,"Wormhole Collapse (Year 820630): In Year 820630, a catastrophic solar flare in Vega Arm destr... | Pandemic Event (Year 820944): In Year 820944, a catastrophic solar flare in Procyon Expans..."
Age of Federations,821000,821500,The Consolidated Unified Systems,"War Declaration (Year 821191): In Year 821191, a skirmish broke out in Betelgeuse Beta betw... | Defense Pact (Year 821092): In Year 821092, the The Aurelian Star Empire and The Great U..."
Age of Expansion,821500,822000,The Unified AI Hegemony,"AI Uprising (Year 821728): In Year 821728, the FTL jump gate in Procyon Beta suffered a... | Megastructure Completion (Year 821810): In Year 821810, researchers in The Great Consolidated Imperi..."
Age of Federations,822000,823000,The Great Unified Imperium,"Defense Pact (Year 822074): In Year 822074, the The Great Unified Imperium and The Zelis... | Alliance Formation (Year 822173): In Year 822173, the The Kaelumis Technocracy and The Consoli... | AI Uprising (Year 822874): In Year 822874, a rogue AI network in The Scientific Technoc... | Resource Catastrophe (Year 822797): In Year 822797, a rogue AI network in The Scientific Technoc..."
Age of Conflict,823000,823500,The Consolidated Unified Systems,"Economic Collapse (Year 823191): In Year 823191, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 823393): In Year 823393, a gold rush of rare FTL fuel elements trigge..."
Age of Expansion,823500,824000,The Great Unified Imperium,"FTL Network Failure (Year 823607): In Year 823607, the FTL jump gate in Castor Arm suffered a c... | Resource Catastrophe (Year 823665): In Year 823665, the FTL jump gate in Pollux Beta suffered a ..."
Age of Colonization,824000,824500,The Unified Technocracy,"Wormhole Collapse (Year 824438): In Year 824438, a catastrophic solar flare in Antares Sigma ... | War Declaration (Year 824362): In Year 824362, the The Great Cygnan Imperium launched a sur..."
Age of Expansion,824500,825000,The Great Scientific Imperium,"Megastructure Completion (Year 824787): In Year 824787, researchers in The Consolidated Allied Syste... | Megastructure Completion (Year 824925): In Year 824925, researchers in The Great Orionian Imperium a..."
Age of Federations,825000,825500,The Consolidated Unified Systems,"Pandemic Event (Year 825080): In Year 825080, the FTL jump gate in Betelgeuse Major suffer... | Galactic Federation (Year 825136): In Year 825136, diplomatic relations between The Consolidate..."
Age of Expansion,825500,826000,The Unified Technocracy,"Wormhole Collapse (Year 825771): In Year 825771, a mysterious cosmic pandemic swept through S... | Peace Treaty Signing (Year 825937): In Year 825937, The Consolidated Aethelgardan Systems acted ..."
Age of Trade,826000,826500,The Great Allied Imperium,"AI Uprising (Year 826257): In Year 826257, a rogue AI network in The Thranari Technocra... | Economic Collapse (Year 826343): In Year 826343, The Great Kaelumari Imperium experienced a m..."
Age of Federations,826500,827000,The Great Scientific Imperium,"Galactic Federation (Year 826596): In Year 826596, the The Scientific Technocracy and The Unifi... | Galactic Federation (Year 826734): In Year 826734, the The Consolidated Bulgite Systems and The..."
Age of Trade,827000,827500,The Consolidated Soloid Systems,"Economic Collapse (Year 827023): In Year 827023, resource depletion in the Aldebaran Reach se... | Megastructure Completion (Year 827450): In Year 827450, a breakthrough in zero-point energy generati..."
Age of Expansion,827500,828500,The Scientific Technocracy,"Planetary Invasion (Year 827647): In Year 827647, the The Great Scientific Imperium launched a... | Defense Pact (Year 827512): In Year 827512, diplomatic relations between The Scientific ... | Megastructure Completion (Year 828125): In Year 828125, researchers in The Consolidated Soloid Syste... | Megastructure Completion (Year 828499): In Year 828499, researchers in The Scientific AI Hegemony ac..."
Age of Trade,828500,829000,The Unified Technocracy,"FTL Network Failure (Year 828776): In Year 828776, a rogue AI network in The Unified Technocrac... | Market Crash (Year 828590): In Year 828590, a gold rush of rare FTL fuel elements trigge..."
Age of Collapse,829000,829500,The Great Scientific Imperium,"AI Uprising (Year 829347): In Year 829347, a rogue AI network in The Great Unified Impe... | Galactic Federation (Year 829428): In Year 829428, the The Consolidated Bulgite Systems and The..."
Age of Trade,829500,830000,The Great Allied Imperium,"FTL Network Failure (Year 829930): In Year 829930, a catastrophic solar flare in Arcturus Prime... | Economic Collapse (Year 829527): In Year 829527, industrial megacorporations in The Allied Te..."
Age of Expansion,830000,830500,The Consolidated Consolidated Systems,"Wormhole Collapse (Year 830251): In Year 830251, a rogue AI network in The Orionan Star Empir... | Megastructure Completion (Year 830030): In Year 830030, The Unified Star Empire successfully complet..."
Age of Federations,830500,831000,The Consolidated Scientific Systems,"Galactic Federation (Year 830721): In Year 830721, The Unified Star Empire acted as a peace med... | Market Crash (Year 830563): In Year 830563, a gold rush of rare FTL fuel elements trigge..."
Age of Collapse,831000,831500,The Great Scientific Imperium,"FTL Network Failure (Year 831203): In Year 831203, a mysterious cosmic pandemic swept through B... | Megastructure Completion (Year 831043): In Year 831043, The Consolidated Thranari Systems successful..."
Age of Expansion,831500,832000,The Consolidated Consolidated Systems,"Megastructure Completion (Year 831697): In Year 831697, the The Vesperari Technocracy completed the ... | Scientific Breakthrough (Year 831627): In Year 831627, a breakthrough in zero-point energy generati..."
Age of Federations,832000,832500,The Unified AI Hegemony,"Galactic Federation (Year 832350): In Year 832350, the The Great Unified Imperium and The Conso... | Planetary Invasion (Year 832212): In Year 832212, a skirmish broke out in Perseus Sigma betwee..."
Age of Expansion,832500,833000,The Consolidated Unified Systems,"AI Uprising (Year 832941): In Year 832941, a mysterious cosmic pandemic swept through A... | FTL Network Failure (Year 832500): In Year 832500, the FTL jump gate in Capella Nebula suffered..."
Age of Colonization,833000,833500,The Great Unified Imperium,"Economic Collapse (Year 833051): In Year 833051, a gold rush of rare FTL fuel elements trigge... | Pandemic Event (Year 833203): In Year 833203, the FTL jump gate in Pollux Expanse suffered..."
Age of Conflict,833500,835000,The Great Unified Imperium,"War Declaration (Year 833892): In Year 833892, The Great Scientific Imperium successfully a... | War Declaration (Year 833992): In Year 833992, the joint fleets of The Unified AI Hegemony ... | AI Uprising (Year 834144): In Year 834144, a rogue AI network in The Consolidated Bulgi... | Refugee Crisis (Year 834086): In Year 834086, the FTL jump gate in Pollux Reach suffered a... | AI Uprising (Year 834814): In Year 834814, the FTL jump gate in Sagittarius Minor suffe... | Wormhole Collapse (Year 834582): In Year 834582, a catastrophic solar flare in Sagittarius Si..."
Age of Collapse,835000,835500,The Great Scientific Imperium,"Economic Collapse (Year 835394): In Year 835394, The Consolidated Kaelumex Systems experience... | Resource Catastrophe (Year 835303): In Year 835303, a rogue AI network in The Consolidated Orion..."
Age of Federations,835500,836000,The Great Scientific Imperium,"Economic Collapse (Year 835677): In Year 835677, a gold rush of rare FTL fuel elements trigge... | Galactic Federation (Year 835918): In Year 835918, diplomatic relations between The Great Conso..."
Age of Expansion,836000,836500,The Great Scientific Imperium,"Megastructure Completion (Year 836305): In Year 836305, The Great Unified Imperium successfully comp... | Peace Treaty Signing (Year 836096): In Year 836096, the The Great Allied Imperium and The Aureli..."
Age of Trade,836500,837000,The Unified Star Empire,"Megastructure Completion (Year 836550): In Year 836550, the The Unified Star Empire completed the co... | Megastructure Completion (Year 836898): In Year 836898, The Scientific Technocracy successfully comp..."
Age of Federations,837000,837500,The Great Consolidated Imperium,"FTL Network Failure (Year 837379): In Year 837379, a catastrophic solar flare in Arcturus Arm d... | Wormhole Collapse (Year 837060): In Year 837060, a mysterious cosmic pandemic swept through S..."
Age of Expansion,837500,838000,The Unified Technocracy,"FTL Network Failure (Year 837510): In Year 837510, the FTL jump gate in Castor Prime suffered a... | Resource Catastrophe (Year 837810): In Year 837810, the FTL jump gate in Vega Minor suffered a c..."
Age of Conflict,838000,838500,The Scientific Technocracy,"Refugee Crisis (Year 838239): In Year 838239, a rogue AI network in The Great Zylarite Imp... | War Declaration (Year 838036): In Year 838036, a skirmish broke out in Sagittarius Nebula b..."
Age of Collapse,838500,839000,The Consolidated Star Empire,"Economic Collapse (Year 838579): In Year 838579, The Scientific AI Hegemony experienced a mas... | Wormhole Collapse (Year 838654): In Year 838654, a mysterious cosmic pandemic swept through P..."
Age of Colonization,839000,839500,The Great Scientific Imperium,"Pandemic Event (Year 839069): In Year 839069, a rogue AI network in The Great Scientific I... | Refugee Crisis (Year 839478): In Year 839478, a catastrophic solar flare in Rigel Prime de..."
Age of Trade,839500,840000,The Meroid AI Hegemony,"Megastructure Completion (Year 839537): In Year 839537, researchers in The Great Meran Imperium achi... | Pandemic Event (Year 839635): In Year 839635, the FTL jump gate in Betelgeuse Reach suffer..."
Age of Federations,840000,840500,The Scientific Technocracy,"Galactic Federation (Year 840357): In Year 840357, The Consolidated Unified Systems acted as a ... | Galactic Federation (Year 840413): In Year 840413, The Great Unified Imperium acted as a peace ..."
Age of Trade,840500,841000,The Consolidated Unified Systems,"Economic Collapse (Year 840776): In Year 840776, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Year 840976): In Year 840976, a mysterious cosmic pandemic swept through O..."
Age of Federations,841000,841500,The Great Unified Imperium,"FTL Network Failure (Year 841231): In Year 841231, the FTL jump gate in Pollux Sigma suffered a... | Megastructure Completion (Year 841381): In Year 841381, researchers in The Great Unified Imperium ac..."
Age of Trade,841500,842000,The Scientific Technocracy,"Economic Collapse (Year 841812): In Year 841812, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 841936): In Year 841936, resource depletion in the Orion Sigma sector..."
